회사명,주요제품,비고,종목코드,국적,상장유형,증권구분,상장일,철회일,상장주선인/지정자문인,업종,액면가 (원),공모가 (원),공모금액 (천원),최초상장주식수 (주),유통가능주식수(주),유통비율,공모주식수,신주모집수량,구주매출수량,신주비중,구주비중,인수수수료,수수료율,수요예측 경쟁률,일반청약 경쟁률,기관투자자 참여건수,기관투자자 참여건수(국내),기관투자자 참여건수(해외),일반청약자 청약건수,의무보유 확약,청약증거금(백만원),수요예측일(시작),수요예측일(마감),청약일(시작),청약일(마감),납입일,희망공모가하단(원),희망공모가상단(원),결정 수준,주당평가가액(원),할인율(하단),할인율(상단),상장요건,평가등급(상위),평가등급(하위),가치평가방법,증권신고서 상 멀티플
~,,NEW_자동추가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB제33호스팩,기업인수합병,,0072Z0,대한민국,신규상장,주권,2025-09-30,,KB증권(주),금융 지원 서비스업,100,"2,000","15,000,000","7,885,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
에스투더블유,"공공/정부기관용 사이버안보 빅데이터 플랫폼, 기업 및 기관용 사이버위협 인텔리전스 플랫폼, 산업용 생성형 AI 플랫폼",,488280,대한민국,신규상장,주권,2025-09-19,,대신증권(주),소프트웨어 개발 및 공급업,500,"13,200","20,856,000","10,587,956",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
본시스템즈,감속기 등 로봇부품,,496320,대한민국,신규상장,주권,2025-09-08,,아이비케이투자증권(주),특수 목적용 기계 제조업,100,-,-,"1,000,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
그래피,"형상기억 투명교정장치, 3D프린팅 소재, 질소경화기 등",,318060,대한민국,신규상장,주권,2025-08-25,,"신한투자증권 주식회사,KB증권(주)",합성고무 및 플라스틱 물질 제조업,500,"15,000","29,250,000","11,038,777",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
제이피아이헬스케어,"X-ray Grid, 의료영상기기 등",,0010V0,대한민국,신규상장,주권,2025-08-21,,키움증권(주),의료용 기기 제조업,500,"20,000","31,600,000","5,105,400",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
삼성스팩10호,기업인수합병,,0044K0,대한민국,신규상장,주권,2025-08-21,,삼성증권(주),금융 지원 서비스업,100,"2,000","14,000,000","7,520,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
한라캐스트,"마그네슘 및 알루미늄 다이캐스팅 제품(차량, 가전용 경량화 소재 부품)",,125490,대한민국,신규상장,주권,2025-08-20,,대신증권(주),자동차 신품 부품 제조업,100,"5,800","43,500,000","36,502,352",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
에스엔시스,"파워솔루션, 에코솔루션, 운항제어솔루션, MRO 솔루션",,0008Z0,대한민국,신규상장,주권,2025-08-19,,신한투자증권 주식회사,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",500,"30,000","57,000,000","9,436,564",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
삼양컴텍,"방위산업방탄제품(K-SAP, 유리섬유제품, 방탄헬멧, 위장망, 방탄복), 항공기부품 제조, 도매, 무역",,484590,대한민국,신규상장,주권,2025-08-18,,"신한투자증권 주식회사,엔에이치투자증권(주)",무기 및 총포탄 제조업,500,"7,700","111,650,000","41,210,450",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
교보18호스팩,기업인수합병,,0041B0,대한민국,신규상장,주권,2025-08-14,,교보증권(주),금융 지원 서비스업,100,"2,000","9,000,000","5,040,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
지투지바이오,장기 약효지속성 주사제 개발,,456160,대한민국,신규상장,주권,2025-08-14,,미래에셋증권 주식회사,의약품 제조업,500,"58,000","52,200,000","5,365,694",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
아이티켐,"원료의약품, 의약품중간체 및 전자재료 등",,309710,대한민국,신규상장,주권,2025-08-07,,KB증권(주),기초 의약물질 제조업,500,"16,100","32,200,000","12,583,001",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
하나35호스팩,기업인수합병,,0041L0,대한민국,신규상장,주권,2025-08-06,,하나증권주식회사,금융 지원 서비스업,100,"2,000","11,000,000","6,030,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
대한조선,선박 및 보트 건조업,,439260,대한민국,신규상장,주권,2025-08-01,,"신영증권(주),KB증권(주),엔에이치투자증권(주)",선박 및 보트 건조업,"5,000","50,000","500,000,000","38,526,312",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
프로티나,단백질간 상호작용 바이오마커 개발 및 분석서비스,,468530,대한민국,신규상장,주권,2025-07-29,,한국투자증권(주),자연과학 및 공학 연구개발업,100,"14,000","21,000,000","10,784,365",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
엔알비,이동형 모듈러 임대 및 판매,,475230,대한민국,신규상장,주권,2025-07-28,,엔에이치투자증권(주),기타 금속 가공제품 제조업,500,"21,000","44,100,000","10,427,139",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
뉴로핏,"Neurophet AQUA, Neurophet Scale PET, Neurophet AQUA AD",,380550,대한민국,신규상장,주권,2025-07-25,,미래에셋증권 주식회사,소프트웨어 개발 및 공급업,"1,000","14,000","28,000,000","11,476,035",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
도우인시스,초박형 유리(UTG),,484120,대한민국,신규상장,주권,2025-07-23,,키움증권(주),전자부품 제조업,500,"32,000","44,800,000","10,757,022",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
디비금융제14호스팩,기업인수목적회사,,0004Y0,대한민국,신규상장,주권,2025-07-22,,DB증권주식회사,기타 금융업,100,"2,000","10,000,000","5,315,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
엘에스스팩1호,기업인수합병,,0041J0,대한민국,신규상장,주권,2025-07-22,,엘에스증권 주식회사,금융 지원 서비스업,100,"2,000","8,000,000","4,110,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
아우토크립트,자동차 사이버보안 소프트웨어 및 솔루션,,331740,대한민국,신규상장,주권,2025-07-15,,대신증권(주),소프트웨어 개발 및 공급업,500,"22,000","30,800,000","9,569,672",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
대신밸류리츠,부동산 임대,,0030R0,대한민국,신규상장,부동산투자회사,2025-07-10,,"한국투자증권(주),대신증권(주)",신탁업 및 집합투자업,500,"5,000","96,500,000","59,780,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
싸이닉솔루션,"ASIC, ASSP, 용역, 상품 등",,234030,대한민국,신규상장,주권,2025-07-07,,대신증권(주),반도체 제조업,100,"4,700","16,450,000","23,605,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
KB제32호스팩,기업인수합병,,0037T0,대한민국,신규상장,주권,2025-07-04,,KB증권(주),금융 지원 서비스업,100,"2,000","12,000,000","6,330,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
